investor_id,SIP_Count,Avg_Gap_Days,Risk_Flag
INV000087,10,51.55555555555556,At Risk
INV000088,4,23.333333333333332,Healthy
INV000089,11,49.1,At Risk
INV000090,7,48.5,At Risk
INV000091,12,45.63636363636363,At Risk
INV000092,5,89.25,Healthy
INV000093,10,49.333333333333336,At Risk
INV000094,11,44.8,At Risk
INV000095,9,52.375,At Risk
INV000096,2,2.0,Healthy
INV000097,11,45.7,At Risk
INV000098,7,66.83333333333333,At Risk
INV000099,8,52.42857142857143,At Risk
INV000100,8,61.42857142857143,At Risk
INV000101,12,42.18181818181818,At Risk
INV000102,11,45.7,At Risk
INV000103,8,63.857142857142854,At Risk
INV000104,12,45.0,At Risk
INV000105,10,44.333333333333336,At Risk
INV000106,4,63.0,Healthy
INV000107,5,50.0,Healthy
INV000108,9,45.625,At Risk
INV000109,10,41.111111111111114,At Risk
INV000110,3,122.0,Healthy
INV000111,2,205.0,Healthy
INV000112,4,80.33333333333333,Healthy
INV000113,9,55.625,At Risk
INV000114,4,47.333333333333336,Healthy
INV000115,6,94.0,At Risk
INV000116,5,78.75,Healthy
INV000117,8,54.857142857142854,At Risk
INV000118,6,50.6,At Risk
INV000119,2,142.0,Healthy
INV000120,4,116.0,Healthy
INV000121,4,133.66666666666666,Healthy
INV000122,1,,Healthy
INV000123,9,44.75,At Risk
INV000124,6,86.8,At Risk
INV000125,7,57.166666666666664,At Risk
INV000126,3,192.5,Healthy
INV000127,3,131.5,Healthy
INV000128,10,45.55555555555556,At Risk
INV000129,11,49.1,At Risk
INV000130,10,38.22222222222222,At Risk
INV000131,12,37.72727272727273,At Risk
INV000132,9,46.125,At Risk
INV000133,7,73.5,At Risk
INV000134,3,87.0,Healthy
INV000135,4,103.33333333333333,Healthy
INV000136,1,,Healthy
INV000137,9,41.75,At Risk
INV000138,12,45.36363636363637,At Risk
INV000139,1,,Healthy
INV000140,4,119.33333333333333,Healthy
INV000141,1,,Healthy
INV000142,1,,Healthy
INV000143,7,51.333333333333336,At Risk
INV000144,6,73.0,At Risk
INV000145,9,55.875,At Risk
INV000146,8,47.714285714285715,At Risk
INV000147,7,58.0,At Risk
INV000148,10,46.22222222222222,At Risk
INV000149,1,,Healthy
INV000150,9,58.0,At Risk
INV000151,6,66.8,At Risk
INV000152,2,87.0,Healthy
INV000153,10,31.444444444444443,Healthy
INV000154,9,59.125,At Risk
INV000155,8,55.285714285714285,At Risk
INV000156,7,79.83333333333333,At Risk
INV000157,1,,Healthy
INV000158,8,63.714285714285715,At Risk
INV000159,3,201.0,Healthy
INV000160,5,71.0,Healthy
INV000161,9,54.75,At Risk
INV000162,2,435.0,Healthy
INV000163,10,47.44444444444444,At Risk
INV000164,6,61.8,At Risk
INV000165,9,58.875,At Risk
INV000166,7,83.0,At Risk
INV000167,9,63.0,At Risk
INV000168,3,192.0,Healthy
INV000169,12,41.18181818181818,At Risk
INV000170,3,25.5,Healthy
INV000171,4,86.66666666666667,Healthy
INV000172,5,100.0,Healthy
INV000173,11,34.6,Healthy
INV000174,8,68.28571428571429,At Risk
INV000175,12,45.63636363636363,At Risk
INV000176,5,119.25,Healthy
INV000177,11,45.8,At Risk
INV000178,2,230.0,Healthy
INV000179,6,35.8,At Risk
INV000180,8,47.857142857142854,At Risk
INV000181,10,52.333333333333336,At Risk
INV000182,10,55.22222222222222,At Risk
INV000183,12,41.54545454545455,At Risk
INV000184,1,,Healthy
INV000185,2,196.0,Healthy
INV000186,2,121.0,Healthy
INV000187,1,,Healthy
INV000188,2,219.0,Healthy
INV000189,6,91.6,At Risk
INV000190,8,65.71428571428571,At Risk
INV000191,11,42.4,At Risk
INV000192,8,57.0,At Risk
INV000193,9,58.25,At Risk
INV000194,12,33.72727272727273,Healthy
INV000195,10,45.77777777777778,At Risk
INV000196,9,56.75,At Risk
INV000197,4,134.66666666666666,Healthy
INV000198,1,,Healthy
INV000199,7,64.33333333333333,At Risk
INV000200,7,69.83333333333333,At Risk
INV000201,10,48.666666666666664,At Risk
INV000202,3,174.0,Healthy
INV000203,9,39.875,At Risk
INV000204,7,69.0,At Risk
INV000205,10,48.666666666666664,At Risk
INV000206,3,130.0,Healthy
INV000207,5,95.0,Healthy
INV000208,1,,Healthy
INV000209,2,29.0,Healthy
INV000210,9,61.875,At Risk
INV000211,9,61.0,At Risk
INV000212,2,88.0,Healthy
INV000213,6,54.0,At Risk
INV000214,10,52.666666666666664,At Risk
INV000215,9,56.375,At Risk
INV000216,6,53.0,At Risk
INV000217,11,46.0,At Risk
INV000218,1,,Healthy
INV000219,5,63.0,Healthy
INV000220,6,80.6,At Risk
INV000221,8,38.42857142857143,At Risk
INV000222,6,45.6,At Risk
INV000223,11,49.8,At Risk
INV000224,7,57.5,At Risk
INV000225,8,53.714285714285715,At Risk
INV000226,8,69.57142857142857,At Risk
INV000227,5,56.75,Healthy
INV000228,12,43.45454545454545,At Risk
INV000229,7,46.333333333333336,At Risk
INV000230,10,50.666666666666664,At Risk
INV000231,11,34.1,Healthy
INV000232,2,205.0,Healthy
INV000233,2,205.0,Healthy
INV000234,7,81.16666666666667,At Risk
INV000235,10,42.111111111111114,At Risk
INV000236,8,67.14285714285714,At Risk
INV000237,3,81.5,Healthy
INV000238,10,52.0,At Risk
INV000239,11,34.2,Healthy
INV000240,2,74.0,Healthy
INV000241,10,40.888888888888886,At Risk
INV000242,10,49.55555555555556,At Risk
INV000243,8,63.0,At Risk
INV000244,9,34.0,Healthy
INV000245,11,46.1,At Risk
INV000246,4,92.33333333333333,Healthy
INV000247,1,,Healthy
INV000248,4,85.33333333333333,Healthy
INV000249,8,39.0,At Risk
INV000250,1,,Healthy
INV000251,6,65.0,At Risk
INV000252,10,36.77777777777778,At Risk
INV000253,2,458.0,Healthy
INV000254,2,249.0,Healthy
INV000255,8,56.0,At Risk
INV000256,12,38.45454545454545,At Risk
INV000257,8,53.285714285714285,At Risk
INV000258,1,,Healthy
INV000259,9,44.125,At Risk
INV000260,12,37.90909090909091,At Risk
INV000261,10,50.44444444444444,At Risk
INV000262,12,34.09090909090909,Healthy
INV000263,9,59.875,At Risk
INV000264,3,81.5,Healthy
INV000265,12,43.72727272727273,At Risk
INV000266,7,62.166666666666664,At Risk
INV000267,12,34.45454545454545,Healthy
INV000268,11,43.2,At Risk
INV000269,4,112.0,Healthy
INV000270,6,48.8,At Risk
INV000271,6,93.6,At Risk
INV000272,4,96.33333333333333,Healthy
INV000273,1,,Healthy
INV000274,6,89.2,At Risk
INV000275,4,134.33333333333334,Healthy
INV000276,6,68.4,At Risk
INV000277,1,,Healthy
INV000278,8,67.0,At Risk
INV000279,12,31.545454545454547,Healthy
INV000280,12,40.54545454545455,At Risk
INV000281,4,136.33333333333334,Healthy
INV000282,4,114.0,Healthy
INV000283,11,46.5,At Risk
INV000284,7,63.666666666666664,At Risk
INV000285,5,65.5,Healthy
INV000286,7,79.5,At Risk
INV000287,9,52.375,At Risk
INV000288,9,57.125,At Risk
INV000289,12,39.90909090909091,At Risk
INV000290,4,106.33333333333333,Healthy
INV000291,9,55.625,At Risk
INV000292,11,35.8,At Risk
INV000293,12,45.45454545454545,At Risk
INV000294,7,62.333333333333336,At Risk
INV000295,3,48.5,Healthy
INV000296,8,58.57142857142857,At Risk
INV000297,9,56.625,At Risk
INV000298,6,74.0,At Risk
INV000299,11,48.8,At Risk
INV000300,3,76.5,Healthy
INV000301,7,45.666666666666664,At Risk
INV000302,2,25.0,Healthy
INV000303,6,88.4,At Risk
INV000304,10,53.111111111111114,At Risk
INV000305,9,44.0,At Risk
INV000306,3,76.0,Healthy
INV000307,7,75.66666666666667,At Risk
INV000308,7,82.66666666666667,At Risk
INV000309,12,41.54545454545455,At Risk
INV000310,12,41.36363636363637,At Risk
INV000311,4,101.33333333333333,Healthy
INV000312,8,68.42857142857143,At Risk
INV000313,5,126.75,Healthy
INV000314,9,50.25,At Risk
INV000315,5,56.75,Healthy
INV000316,6,77.0,At Risk
INV000317,5,110.5,Healthy
INV000318,8,69.57142857142857,At Risk
INV000319,9,55.125,At Risk
INV000320,12,38.18181818181818,At Risk
INV000321,12,44.27272727272727,At Risk
INV000322,4,143.66666666666666,Healthy
INV000323,6,59.6,At Risk
INV000324,3,250.0,Healthy
INV000325,3,113.5,Healthy
INV000326,6,74.4,At Risk
INV000327,4,167.66666666666666,Healthy
INV000328,12,29.545454545454547,Healthy
INV000329,4,88.66666666666667,Healthy
INV000330,9,55.625,At Risk
INV000331,11,47.7,At Risk
INV000332,6,64.4,At Risk
INV000333,6,90.2,At Risk
INV000334,12,26.636363636363637,Healthy
INV000335,11,48.0,At Risk
INV000336,2,150.0,Healthy
INV000337,7,69.0,At Risk
INV000338,4,29.666666666666668,Healthy
INV000339,10,57.111111111111114,At Risk
INV000340,6,25.6,Healthy
INV000341,11,46.1,At Risk
INV000342,1,,Healthy
INV000343,4,126.66666666666667,Healthy
INV000344,10,41.22222222222222,At Risk
INV000345,1,,Healthy
INV000346,6,52.8,At Risk
INV000347,2,224.0,Healthy
INV000348,4,109.66666666666667,Healthy
INV000349,11,45.2,At Risk
INV000350,2,85.0,Healthy
INV000351,8,49.57142857142857,At Risk
INV000352,6,64.6,At Risk
INV000353,3,173.0,Healthy
INV000354,7,78.16666666666667,At Risk
INV000355,1,,Healthy
INV000356,8,38.857142857142854,At Risk
INV000357,5,86.25,Healthy
INV000358,2,88.0,Healthy
INV000359,10,48.111111111111114,At Risk
INV000360,9,61.125,At Risk
INV000361,6,46.0,At Risk
INV000362,2,264.0,Healthy
INV000363,8,66.0,At Risk
INV000364,4,63.0,Healthy
INV000365,1,,Healthy
INV000366,8,35.142857142857146,At Risk
INV000367,5,42.25,Healthy
INV000368,2,509.0,Healthy
INV000369,8,37.714285714285715,At Risk
INV000370,6,93.4,At Risk
INV000371,11,41.5,At Risk
INV000372,10,42.888888888888886,At Risk
INV000373,3,145.5,Healthy
INV000374,8,55.857142857142854,At Risk
INV000375,1,,Healthy
INV000376,3,106.5,Healthy
INV000377,8,61.42857142857143,At Risk
INV000378,6,47.0,At Risk
INV000379,4,112.0,Healthy
INV000380,7,80.83333333333333,At Risk
INV000381,2,114.0,Healthy
INV000382,2,70.0,Healthy
INV000383,10,52.333333333333336,At Risk
INV000384,7,57.833333333333336,At Risk
INV000385,5,69.5,Healthy
INV000386,1,,Healthy
INV000387,9,48.0,At Risk
INV000388,10,47.666666666666664,At Risk
INV000389,6,95.0,At Risk
INV000390,8,52.42857142857143,At Risk
INV000391,1,,Healthy
INV000392,12,42.72727272727273,At Risk
INV000393,7,75.33333333333333,At Risk
INV000394,11,44.1,At Risk
INV000395,9,51.5,At Risk
INV000396,12,44.63636363636363,At Risk
INV000397,6,87.2,At Risk
INV000398,2,72.0,Healthy
INV000399,11,44.6,At Risk
INV000400,10,34.77777777777778,Healthy
INV000401,4,21.333333333333332,Healthy
INV000402,7,47.0,At Risk
INV000403,11,43.2,At Risk
INV000404,2,355.0,Healthy
INV000405,3,32.5,Healthy
INV000406,2,16.0,Healthy
INV000407,8,66.71428571428571,At Risk
INV000408,7,55.5,At Risk
INV000409,4,125.0,Healthy
INV000410,8,56.285714285714285,At Risk
INV000411,6,57.4,At Risk
INV000412,9,38.25,At Risk
INV000413,10,51.55555555555556,At Risk
INV000414,11,46.4,At Risk
INV000415,10,52.666666666666664,At Risk
INV000416,2,119.0,Healthy
INV000417,7,52.166666666666664,At Risk
INV000418,9,55.625,At Risk
INV000419,5,91.5,Healthy
INV000420,1,,Healthy
INV000421,7,80.16666666666667,At Risk
INV000422,1,,Healthy
INV000423,3,187.5,Healthy
INV000424,2,100.0,Healthy
INV000425,7,56.333333333333336,At Risk
INV000426,3,105.0,Healthy
INV000427,11,41.1,At Risk
INV000428,11,48.1,At Risk
INV000429,8,55.57142857142857,At Risk
INV000430,6,94.6,At Risk
INV000431,8,59.285714285714285,At Risk
INV000432,7,78.33333333333333,At Risk
INV000433,5,66.5,Healthy
INV000434,1,,Healthy
INV000435,1,,Healthy
INV000436,6,58.4,At Risk
INV000437,9,61.125,At Risk
INV000438,4,100.33333333333333,Healthy
INV000439,12,34.45454545454545,Healthy
INV000440,12,44.81818181818182,At Risk
INV000441,8,60.714285714285715,At Risk
INV000442,4,145.0,Healthy
INV000443,5,124.25,Healthy
INV000444,11,36.6,At Risk
INV000445,11,46.2,At Risk
INV000446,10,40.888888888888886,At Risk
INV000447,1,,Healthy
INV000448,5,100.0,Healthy
INV000449,8,69.71428571428571,At Risk
INV000450,2,31.0,Healthy
INV000451,2,33.0,Healthy
INV000452,12,35.90909090909091,At Risk
INV000453,8,42.0,At Risk
INV000454,6,93.0,At Risk
INV000455,3,123.0,Healthy
INV000456,6,47.4,At Risk
INV000457,12,41.54545454545455,At Risk
INV000458,12,42.0,At Risk
INV000459,5,76.75,Healthy
INV000460,12,43.09090909090909,At Risk
INV000461,3,67.5,Healthy
INV000462,2,79.0,Healthy
INV000463,10,43.44444444444444,At Risk
INV000464,1,,Healthy
INV000465,5,96.0,Healthy
INV000466,10,48.888888888888886,At Risk
INV000467,10,56.666666666666664,At Risk
INV000468,1,,Healthy
INV000469,12,38.45454545454545,At Risk
INV000470,4,148.33333333333334,Healthy
INV000471,5,83.75,Healthy
INV000472,3,195.5,Healthy
INV000473,8,49.57142857142857,At Risk
INV000474,5,103.5,Healthy
INV000475,3,218.0,Healthy
INV000476,4,45.333333333333336,Healthy
INV000477,10,44.666666666666664,At Risk
INV000478,3,30.5,Healthy
INV000479,2,99.0,Healthy
INV000480,9,56.625,At Risk
INV000481,10,52.111111111111114,At Risk
INV000482,10,47.0,At Risk
INV000483,11,49.3,At Risk
INV000484,1,,Healthy
INV000485,6,85.8,At Risk
INV000486,3,86.0,Healthy
INV000487,7,76.5,At Risk
INV000488,7,75.16666666666667,At Risk
INV000489,5,87.0,Healthy
INV000490,3,115.5,Healthy
INV000491,12,43.18181818181818,At Risk
INV000492,7,74.33333333333333,At Risk
INV000493,12,38.90909090909091,At Risk
INV000494,7,55.166666666666664,At Risk
INV000495,12,38.54545454545455,At Risk
INV000496,7,54.166666666666664,At Risk
INV000497,10,54.22222222222222,At Risk
INV000498,4,98.66666666666667,Healthy
INV000499,9,58.375,At Risk
INV000500,8,52.857142857142854,At Risk
INV000501,3,100.5,Healthy
INV000502,1,,Healthy
INV000503,4,47.666666666666664,Healthy
INV000504,1,,Healthy
INV000505,6,82.0,At Risk
INV000506,3,71.5,Healthy
INV000507,9,56.375,At Risk
INV000508,2,124.0,Healthy
INV000509,5,64.25,Healthy
INV000510,4,150.0,Healthy
INV000511,8,62.57142857142857,At Risk
INV000512,12,42.45454545454545,At Risk
INV000513,2,103.0,Healthy
INV000514,8,43.142857142857146,At Risk
INV000515,3,189.5,Healthy
INV000516,2,340.0,Healthy
INV000517,5,119.0,Healthy
INV000518,2,217.0,Healthy
INV000519,6,74.2,At Risk
INV000520,6,68.2,At Risk
INV000521,9,43.25,At Risk
INV000522,12,45.81818181818182,At Risk
INV000523,10,53.111111111111114,At Risk
INV000524,10,41.22222222222222,At Risk
INV000525,8,49.142857142857146,At Risk
INV000526,10,44.333333333333336,At Risk
INV000527,11,50.2,At Risk
INV000528,1,,Healthy
INV000529,11,41.3,At Risk
INV000530,5,109.25,Healthy
INV000531,11,28.4,Healthy
INV000532,11,48.3,At Risk
INV000533,8,65.71428571428571,At Risk
INV000534,2,243.0,Healthy
INV000535,6,97.4,At Risk
INV000536,4,93.0,Healthy
INV000537,5,71.0,Healthy
INV000538,5,36.5,Healthy
INV000539,9,57.75,At Risk
INV000540,11,48.4,At Risk
INV000541,2,56.0,Healthy
INV000542,5,123.25,Healthy
INV000543,8,71.71428571428571,At Risk
INV000544,8,62.285714285714285,At Risk
INV000545,10,50.666666666666664,At Risk
INV000546,12,40.0,At Risk
INV000547,12,43.72727272727273,At Risk
INV000548,8,67.28571428571429,At Risk
INV000549,10,53.44444444444444,At Risk
INV000550,5,111.75,Healthy
INV000551,4,131.0,Healthy
INV000552,10,55.111111111111114,At Risk
INV000553,7,60.0,At Risk
INV000554,10,39.0,At Risk
INV000555,3,216.5,Healthy
INV000556,11,41.3,At Risk
INV000557,6,88.0,At Risk
INV000558,8,61.42857142857143,At Risk
INV000559,5,107.5,Healthy
INV000560,5,87.25,Healthy
INV000561,1,,Healthy
INV000562,7,62.0,At Risk
INV000563,12,41.63636363636363,At Risk
INV000564,4,90.0,Healthy
INV000565,3,153.0,Healthy
INV000566,12,39.63636363636363,At Risk
INV000567,12,40.54545454545455,At Risk
INV000568,9,39.0,At Risk
INV000569,12,42.18181818181818,At Risk
INV000570,11,47.1,At Risk
INV000571,1,,Healthy
INV000572,5,112.0,Healthy
INV000573,12,27.727272727272727,Healthy
INV000574,3,100.5,Healthy
INV000575,8,52.714285714285715,At Risk
INV000576,9,52.75,At Risk
INV000577,11,43.4,At Risk
INV000578,12,45.81818181818182,At Risk
INV000579,1,,Healthy
INV000580,9,49.25,At Risk
INV000581,12,42.72727272727273,At Risk
INV000582,1,,Healthy
INV000583,9,51.75,At Risk
INV000584,8,63.857142857142854,At Risk
INV000585,9,61.125,At Risk
INV000586,12,44.54545454545455,At Risk
INV000587,12,33.81818181818182,Healthy
INV000588,2,444.0,Healthy
INV000589,11,47.3,At Risk
INV000590,4,84.66666666666667,Healthy
INV000591,8,55.285714285714285,At Risk
INV000592,5,99.75,Healthy
INV000593,11,43.8,At Risk
INV000594,1,,Healthy
INV000595,10,53.44444444444444,At Risk
INV000596,12,43.27272727272727,At Risk
INV000597,8,63.285714285714285,At Risk
INV000598,6,93.6,At Risk
INV000599,10,54.333333333333336,At Risk
INV000600,6,88.8,At Risk
INV000601,10,32.666666666666664,Healthy
INV000602,10,45.77777777777778,At Risk
INV000603,4,132.66666666666666,Healthy
INV000604,10,42.55555555555556,At Risk
INV000605,2,223.0,Healthy
INV000606,12,38.27272727272727,At Risk
INV000607,10,50.22222222222222,At Risk
INV000608,7,83.5,At Risk
INV000609,12,26.09090909090909,Healthy
INV000610,1,,Healthy
INV000611,6,69.2,At Risk
INV000612,12,44.81818181818182,At Risk
INV000613,4,82.33333333333333,Healthy
INV000614,7,26.0,Healthy
INV000615,9,46.125,At Risk
INV000616,9,61.5,At Risk
INV000617,3,64.0,Healthy
INV000618,2,7.0,Healthy
INV000619,9,26.0,Healthy
INV000620,1,,Healthy
INV000621,10,47.111111111111114,At Risk
INV000622,5,89.5,Healthy
INV000623,10,48.44444444444444,At Risk
INV000624,9,43.75,At Risk
INV000625,12,41.45454545454545,At Risk
INV000626,6,73.4,At Risk
INV000627,3,236.5,Healthy
INV000628,2,304.0,Healthy
INV000629,6,75.6,At Risk
INV000630,9,54.25,At Risk
INV000631,9,41.375,At Risk
INV000632,4,140.33333333333334,Healthy
INV000633,6,86.2,At Risk
INV000634,11,41.8,At Risk
INV000635,8,53.57142857142857,At Risk
INV000636,6,54.4,At Risk
INV000637,6,64.2,At Risk
INV000638,8,71.0,At Risk
INV000639,11,50.8,At Risk
INV000640,1,,Healthy
INV000641,8,44.857142857142854,At Risk
INV000642,11,50.2,At Risk
INV000643,7,51.5,At Risk
INV000644,6,69.4,At Risk
INV000645,12,30.0,Healthy
INV000646,12,37.63636363636363,At Risk
INV000647,4,105.66666666666667,Healthy
INV000648,4,65.33333333333333,Healthy
INV000649,10,52.22222222222222,At Risk
INV000650,5,108.5,Healthy
INV000651,8,70.85714285714286,At Risk
INV000652,12,43.36363636363637,At Risk
INV000653,2,164.0,Healthy
INV000654,6,91.4,At Risk
INV000655,2,132.0,Healthy
INV000656,7,62.333333333333336,At Risk
INV000657,10,50.333333333333336,At Risk
INV000658,9,47.375,At Risk
INV000659,5,125.0,Healthy
INV000660,6,42.0,At Risk
INV000661,8,60.42857142857143,At Risk
INV000662,11,46.3,At Risk
INV000663,6,94.4,At Risk
INV000664,8,46.714285714285715,At Risk
INV000665,12,29.636363636363637,Healthy
INV000666,7,62.166666666666664,At Risk
INV000667,12,43.54545454545455,At Risk
INV000668,5,127.0,Healthy
INV000669,4,128.66666666666666,Healthy
INV000670,5,50.5,Healthy
INV000671,12,38.72727272727273,At Risk
INV000672,3,37.0,Healthy
INV000673,6,92.8,At Risk
INV000674,3,30.5,Healthy
INV000675,12,36.63636363636363,At Risk
INV000676,12,32.09090909090909,Healthy
INV000677,4,151.0,Healthy
INV000678,11,38.0,At Risk
INV000679,5,82.25,Healthy
INV000680,3,161.5,Healthy
INV000681,3,137.5,Healthy
INV000682,6,96.6,At Risk
INV000683,11,50.6,At Risk
INV000684,5,111.5,Healthy
INV000685,2,11.0,Healthy
INV000686,2,203.0,Healthy
INV000687,5,88.5,Healthy
INV000688,3,44.5,Healthy
INV000689,8,46.714285714285715,At Risk
INV000690,12,45.90909090909091,At Risk
INV000691,10,52.888888888888886,At Risk
INV000692,1,,Healthy
INV000693,10,44.333333333333336,At Risk
INV000694,7,82.5,At Risk
INV000695,8,63.285714285714285,At Risk
INV000696,4,104.66666666666667,Healthy
INV000697,1,,Healthy
INV000698,12,38.0,At Risk
INV000699,8,36.42857142857143,At Risk
INV000700,3,60.5,Healthy
INV000701,11,50.2,At Risk
INV000702,3,143.5,Healthy
INV000703,7,84.0,At Risk
INV000704,9,50.625,At Risk
INV000705,4,114.33333333333333,Healthy
INV000706,9,54.5,At Risk
INV000707,10,45.0,At Risk
INV000708,8,66.0,At Risk
INV000709,12,39.54545454545455,At Risk
INV000710,7,73.83333333333333,At Risk
INV000711,8,60.0,At Risk
INV000712,1,,Healthy
INV000713,4,87.66666666666667,Healthy
INV000714,12,26.90909090909091,Healthy
INV000715,7,55.333333333333336,At Risk
INV000716,2,192.0,Healthy
INV000717,7,77.66666666666667,At Risk
INV000718,10,38.55555555555556,At Risk
INV000719,12,40.72727272727273,At Risk
INV000720,8,70.71428571428571,At Risk
INV000721,7,78.0,At Risk
INV000722,9,52.125,At Risk
INV000723,6,86.6,At Risk
INV000724,9,50.75,At Risk
INV000725,8,58.0,At Risk
INV000726,7,69.5,At Risk
INV000727,3,13.0,Healthy
INV000728,9,39.125,At Risk
INV000729,5,109.75,Healthy
INV000730,5,81.75,Healthy
INV000731,4,88.0,Healthy
INV000732,10,42.333333333333336,At Risk
INV000733,7,74.5,At Risk
INV000734,11,46.3,At Risk
INV000735,8,61.42857142857143,At Risk
INV000736,10,44.333333333333336,At Risk
INV000737,8,66.14285714285714,At Risk
INV000738,8,49.57142857142857,At Risk
INV000739,8,60.714285714285715,At Risk
INV000740,2,223.0,Healthy
INV000741,8,65.71428571428571,At Risk
INV000742,6,83.0,At Risk
INV000743,4,105.33333333333333,Healthy
INV000744,10,28.22222222222222,Healthy
INV000745,6,88.8,At Risk
INV000746,9,60.5,At Risk
INV000747,11,45.7,At Risk
INV000748,4,89.66666666666667,Healthy
INV000749,12,40.45454545454545,At Risk
INV000750,12,35.36363636363637,At Risk
INV000751,11,42.4,At Risk
INV000752,7,78.66666666666667,At Risk
INV000753,7,50.666666666666664,At Risk
INV000754,11,44.7,At Risk
INV000755,7,66.16666666666667,At Risk
INV000756,4,78.0,Healthy
INV000757,6,83.4,At Risk
INV000758,10,50.44444444444444,At Risk
INV000759,11,49.8,At Risk
INV000760,4,102.66666666666667,Healthy
INV000761,11,49.4,At Risk
INV000762,4,161.66666666666666,Healthy
INV000763,1,,Healthy
INV000764,8,57.57142857142857,At Risk
INV000765,12,43.0,At Risk
INV000766,4,118.33333333333333,Healthy
INV000767,6,94.2,At Risk
INV000768,12,38.18181818181818,At Risk
INV000769,7,76.66666666666667,At Risk
INV000770,3,24.5,Healthy
INV000771,5,94.0,Healthy
INV000772,12,36.36363636363637,At Risk
INV000773,1,,Healthy
INV000774,9,55.25,At Risk
INV000775,5,99.25,Healthy
INV000776,11,42.1,At Risk
INV000777,8,47.142857142857146,At Risk
INV000778,11,48.1,At Risk
INV000779,12,40.36363636363637,At Risk
INV000780,1,,Healthy
INV000781,5,96.25,Healthy
INV000782,6,35.4,At Risk
INV000783,12,44.36363636363637,At Risk
INV000784,8,62.42857142857143,At Risk
INV000785,11,38.9,At Risk
INV000786,10,57.0,At Risk
INV000787,1,,Healthy
INV000788,7,52.5,At Risk
INV000789,10,44.333333333333336,At Risk
INV000790,1,,Healthy
INV000791,9,56.125,At Risk
INV000792,2,271.0,Healthy
INV000793,11,48.4,At Risk
INV000794,1,,Healthy
INV000795,4,116.33333333333333,Healthy
INV000796,4,97.66666666666667,Healthy
INV000797,5,117.0,Healthy
INV000798,1,,Healthy
INV000799,7,80.83333333333333,At Risk
INV000800,5,108.5,Healthy
INV000801,4,110.33333333333333,Healthy
INV000802,5,44.5,Healthy
INV000803,9,57.875,At Risk
INV000804,6,92.2,At Risk
INV000805,1,,Healthy
INV000806,12,34.09090909090909,Healthy
